20A.EU1,20A.EU2,20B.S.732A,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21D.Eta,21G.Lambda,21H.Mu,21I.Delta,21J.Delta,DanishCluster
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.006896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.005076142131979695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.008849557522123894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.00425531914893617,0.13191489361702127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.01107011070110701,0.1918819188191882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.021021021021021023,0.2012012012012012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.03217821782178218,0.20297029702970298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.03488372093023256,0.2302325581395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.029953917050691243,0.28110599078341014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.01956521739130435,0.33043478260869563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.019120458891013385,0.3938814531548757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.025167785234899327,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.027737226277372264,0.6262773722627737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.027989821882951654,0.7175572519083969,0.0,0.0,0.0,0.001272264631043257,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0011918951132300357,0.03218116805721097,0.7771156138259833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0011173184357541898,0.03798882681564246,0.8279329608938547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.03961352657004831,0.8608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.042741935483870966,0.8790322580645161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.04477611940298507,0.89280868385346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006784260515603799
0.0,0.0,0.0,0.0,0.0005906674542232723,0.04016538688718252,0.9054932073242764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017720023626698169
0.0,0.0,0.0,0.0,0.0,0.033917467495760314,0.919728660260034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016958733747880158
0.0,0.0,0.0,0.0,0.0,0.02766798418972332,0.9373235460191982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001129305477131564
0.0,0.0,0.0,0.0005966587112171838,0.0,0.023269689737470168,0.951073985680191,0.0,0.0005966587112171838,0.0,0.0,0.0,0.0,0.0005966587112171838,0.0005966587112171838
0.0,0.0,0.0,0.0006321112515802782,0.0,0.022756005056890013,0.9557522123893806,0.0,0.0,0.0,0.0,0.0,0.0,0.0012642225031605564,0.0006321112515802782
0.0,0.0,0.0,0.0006002400960384153,0.0,0.024009603841536616,0.9519807923169268,0.0,0.0,0.0,0.0006002400960384153,0.0,0.0,0.001800720288115246,0.0012004801920768306
0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.9512987012987013,0.0,0.0,0.0,0.0010822510822510823,0.0,0.0005411255411255411,0.0010822510822510823,0.0010822510822510823
0.0,0.0,0.0,0.0,0.0,0.019714144898965006,0.956628881222277,0.0,0.0,0.0,0.0009857072449482504,0.0,0.0,0.0004928536224741252,0.0009857072449482504
0.0,0.0,0.0,0.0,0.0,0.01652523447967843,0.9602501116569897,0.0,0.0,0.0,0.0008932559178204555,0.0,0.0,0.0013398838767306833,0.0008932559178204555
0.0,0.0,0.0,0.0,0.0,0.017431972789115645,0.9596088435374149,0.0,0.0,0.0,0.00042517006802721087,0.0,0.0,0.003401360544217687,0.0012755102040816326
0.0,0.0,0.0,0.0,0.0,0.017680034497628287,0.956877964639931,0.0,0.0,0.0,0.00043122035360068997,0.0,0.0,0.008624407072013798,0.00129366106080207
0.0,0.0,0.0,0.0,0.0,0.014462809917355372,0.9504132231404959,0.0,0.0,0.0,0.00041322314049586776,0.0,0.0,0.021074380165289255,0.0012396694214876034
0.0,0.0,0.0,0.0,0.0,0.010819165378670788,0.9366306027820711,0.0,0.0,0.0,0.0003863987635239567,0.0003863987635239567,0.0,0.040571870170015456,0.0015455950540958269
0.0,0.0,0.0,0.0,0.0,0.007751937984496124,0.9155038759689923,0.0,0.0,0.0,0.0,0.0007751937984496124,0.0,0.06550387596899225,0.0015503875968992248
0.0,0.0,0.0,0.0,0.0,0.005926511260371394,0.8889766890557093,0.0,0.0,0.0,0.0,0.0007902015013828526,0.0003951007506914263,0.09363887791386803,0.0019755037534571317
0.0,0.0,0.0,0.0,0.0,0.005330053300533005,0.8470684706847068,0.0,0.0,0.0,0.0,0.0004100041000410004,0.0016400164001640015,0.13653136531365315,0.0024600246002460025
0.0,0.0,0.0,0.0,0.0,0.0038893690579083835,0.7726879861711322,0.0,0.000432152117545376,0.0,0.0,0.000432152117545376,0.003025064822817632,0.21175453759723423,0.00216076058772688
0.0,0.0,0.0,0.0,0.0,0.0023020257826887663,0.651012891344383,0.0,0.00046040515653775324,0.0,0.0,0.00046040515653775324,0.003683241252302026,0.3333333333333333,0.0013812154696132596
0.0,0.0,0.0,0.0,0.0,0.002070393374741201,0.4746376811594203,0.0,0.0005175983436853002,0.0,0.0,0.0010351966873706005,0.004140786749482402,0.510351966873706,0.0010351966873706005
0.0,0.0,0.0,0.0,0.0,0.0016741071428571428,0.29966517857142855,0.0,0.0005580357142857143,0.0,0.0,0.0005580357142857143,0.005022321428571429,0.6863839285714286,0.0011160714285714285
0.0,0.0,0.0,0.0,0.0,0.0010509721492380452,0.186022070415134,0.0,0.0010509721492380452,0.0,0.0,0.0,0.008407777193904361,0.7992643194955333,0.0010509721492380452
0.0,0.0,0.0,0.0,0.0,0.0004955401387512388,0.11843409316154609,0.0,0.0014866204162537165,0.0,0.0,0.0,0.011397423191278493,0.8647175421209118,0.0009910802775024777
0.0,0.0,0.0,0.0,0.0,0.0,0.08553654743390357,0.0,0.002073613271124935,0.0,0.0,0.0,0.01088646967340591,0.8968377397615345,0.002073613271124935
0.0,0.0,0.0,0.0,0.0,0.0,0.07519708914493632,0.0,0.002425712553062462,0.0,0.0,0.0,0.010309278350515464,0.9066100667070952,0.0036385688295936932
0.0,0.0,0.0,0.0,0.0,0.0,0.05939123979213066,0.0,0.0014847809948032665,0.0,0.0,0.0,0.010393466963622866,0.9235337787676318,0.005196733481811433
0.0,0.0,0.0,0.0,0.0,0.0,0.03880070546737213,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0.9497354497354498,0.005291005291005291
0.0,0.0,0.0,0.0,0.0,0.0,0.02574002574002574,0.0,0.0,0.0,0.0,0.0,0.006435006435006435,0.9665379665379665,0.005148005148005148
0.0,0.0,0.0,0.0,0.0,0.0,0.018691588785046728,0.0,0.0,0.0,0.0,0.0,0.006230529595015576,0.9719626168224299,0.003115264797507788
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
