20A.EU1,20A.EU2,20A.S.126A,20H.Beta.V2,20I.Alpha.V1,21A.Delta,21B.Kappa,21H.Mu,21I.Delta,21J.Delta,Delta.250I,Delta.299I
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011363636363636364,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.013513513513513514,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.011235955056179775,0.02247191011235955,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.08571428571428572,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.09433962264150944,0.05660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.2413793103448276,0.1724137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.3,0.23333333333333334,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.29411764705882354,0.20588235294117646,0.058823529411764705,0.08823529411764706,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.2903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.0,0.03225806451612903,0.0,0.0,0.0
0.0,0.0,0.0,0.30434782608695654,0.043478260869565216,0.17391304347826086,0.08695652173913043,0.0,0.13043478260869565,0.0,0.0,0.0
0.0,0.0,0.0,0.3888888888888889,0.0,0.1111111111111111,0.0,0.0,0.2777777777777778,0.05555555555555555,0.0,0.0
0.0,0.0,0.0,0.46153846153846156,0.0,0.07692307692307693,0.0,0.0,0.23076923076923078,0.07692307692307693,0.0,0.0
0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0
0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.25,0.0,0.0
0.0,0.0,0.08333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0
0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.6428571428571429,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.8947368421052632,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.8846153846153846,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.8260869565217391,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.7692307692307693,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.75,0.0,0.0
0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.875,0.0,0.0
0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.7692307692307693,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29411764705882354,0.5882352941176471,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.42857142857142855,0.47619047619047616,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.45454545454545453,0.45454545454545453,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42105263157894735,0.5263157894736842,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.6153846153846154,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.7272727272727273,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.8181818181818182,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.8181818181818182,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.75,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
