20A.EU1,20A.S.210T,20H.Beta.V2,20I.Alpha.V1,21A.Delta.S.K417,21A.Delta,21B.Kappa,21D.Eta,21I.Delta,21J.Delta,DanishCluster,Delta.145H
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.050505050505050504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.007575757575757576,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.00819672131147541,0.11475409836065574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.00847457627118644,0.16101694915254236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.016129032258064516,0.1693548387096774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.008771929824561403,0.21929824561403508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.00909090909090909,0.2909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.00909090909090909,0.0
0.0,0.0,0.008,0.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.006896551724137931,0.2206896551724138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.013071895424836602,0.20261437908496732,0.0,0.006535947712418301,0.0,0.0,0.0,0.013071895424836602,0.0,0.0
0.0,0.0,0.013157894736842105,0.19736842105263158,0.0,0.006578947368421052,0.0,0.0,0.0,0.046052631578947366,0.0,0.0
0.0,0.0,0.014084507042253521,0.18309859154929578,0.0,0.007042253521126761,0.0,0.0,0.0,0.1056338028169014,0.0,0.0
0.0,0.0,0.006993006993006993,0.16083916083916083,0.0,0.006993006993006993,0.0,0.0,0.0,0.2517482517482518,0.0,0.0
0.0,0.0,0.005780346820809248,0.1329479768786127,0.0,0.005780346820809248,0.0,0.005780346820809248,0.0,0.43352601156069365,0.0,0.0
0.0,0.0,0.0,0.10047846889952153,0.0,0.014354066985645933,0.0,0.0,0.0,0.5885167464114832,0.0,0.0
0.0,0.0,0.0,0.06722689075630252,0.0,0.012605042016806723,0.0,0.0,0.0,0.7142857142857143,0.0,0.0
0.0,0.0,0.0,0.03184713375796178,0.0,0.009554140127388535,0.0,0.0,0.0,0.8280254777070064,0.0,0.0
0.0,0.0,0.0024691358024691358,0.01728395061728395,0.0,0.012345679012345678,0.0,0.0024691358024691358,0.0024691358024691358,0.8839506172839506,0.0,0.0
0.0,0.0,0.0,0.013888888888888888,0.0,0.019444444444444445,0.0,0.0,0.002777777777777778,0.9055555555555556,0.0,0.0
0.0,0.0,0.0,0.010948905109489052,0.0,0.01824817518248175,0.0,0.0,0.0036496350364963502,0.9343065693430657,0.0,0.0
0.0,0.0,0.0,0.003676470588235294,0.0,0.014705882352941176,0.0,0.0,0.003676470588235294,0.9632352941176471,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.010344827586206896,0.0,0.0,0.0034482758620689655,0.9689655172413794,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.009569377990430622,0.0,0.0,0.0,0.9617224880382775,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9224137931034483,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.92,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.008403361344537815,0.0,0.0,0.0,0.9243697478991597,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,0.0,0.9385964912280702,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,0.007936507936507936,0.9682539682539683,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006756756756756757,0.9864864864864865,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.9807692307692307,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007518796992481203,0.9699248120300752,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.010526315789473684,0.968421052631579,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.9594594594594594,0.013513513513513514,0.0
0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.9615384615384616,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.9506172839506173,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
